73829123,10/12/2009,W,500.00
73849222,10/12/2009,W,530.00
73843942,10/12/2009,D,1000.00
73829123,10/13/2009,W,300.00
73829123,10/14/2009,D,1287.78
73829123,10/15/2009,W,500.00
73849222,10/15/2009,D,1000.00
73849222,10/16/2009,W,350.00
73849222,10/16/2009,W,128.00
73829999,10/16/2009,D,500.00
73849222,10/17/2009,W,481.00
73849222,10/17/2009,W,1.37
73843942,10/17/2009,D,1000.00
73843923,10/18/2009,W,203.23
73843923,10/18/2009,D,1000.00
73832911,10/18/2009,W,5.00
73832911,10/19/2009,D,50.00
73832911,10/20/2009,W,36.95
73832911,10/21/2009,W,15.43
73832911,10/22/2009,D,78.54
73812930,10/24/2009,D,12674.89
73843942,10/24/2009,D,1000.00
73812930,10/25/2009,W,11675.09
73812930,10/26/2009,D,2400.00
